REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1962-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.3,,,,1
1962-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.3,,,,1
1962-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.2,,,,1
1962-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.5,,,,1
1962-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.2,,,,1
1962-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.5,,,,1
1962-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.5,,,,1
1962-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.7,,,,1
1962-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.5,,,,1
1962-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.5,,,,1
1962-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.6,,,,1
1962-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.6,,,,1
1963-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.8,,,,1
1963-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.9,,,,1
1963-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.8,,,,1
1963-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.8,,,,1
1963-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.7,,,,1
1963-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,14.9,,,,1
1963-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.2,,,,1
1963-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.3,,,,1
1963-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1963-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1963-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1963-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1964-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1964-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1964-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1964-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.1,,,,1
1964-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1964-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.2,,,,1
1964-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.5,,,,1
1964-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.5,,,,1
1964-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.2,,,,1
1964-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.0,,,,1
1964-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.1,,,,1
1964-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.3,,,,1
1965-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.2,,,,1
1965-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.3,,,,1
1965-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.3,,,,1
1965-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.3,,,,1
1965-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.4,,,,1
1965-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.8,,,,1
1965-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.0,,,,1
1965-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.8,,,,1
1965-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.6,,,,1
1965-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.5,,,,1
1965-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,15.8,,,,1
1965-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.0,,,,1
1966-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.1,,,,1
1966-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.3,,,,1
1966-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.5,,,,1
1966-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.5,,,,1
1966-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.5,,,,1
1966-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.6,,,,1
1966-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.8,,,,1
1966-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.0,,,,1
1966-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.9,,,,1
1966-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.7,,,,1
1966-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.6,,,,1
1966-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.6,,,,1
1967-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.6,,,,1
1967-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.5,,,,1
1967-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.5,,,,1
1967-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.5,,,,1
1967-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.5,,,,1
1967-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,16.6,,,,1
1967-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.0,,,,1
1967-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.4,,,,1
1967-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.0,,,,1
1967-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.0,,,,1
1967-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.0,,,,1
1967-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.0,,,,1
1968-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.3,,,,1
1968-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.1,,,,1
1968-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.0,,,,1
1968-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.1,,,,1
1968-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.0,,,,1
1968-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.1,,,,1
1968-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.4,,,,1
1968-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.6,,,,1
1968-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.5,,,,1
1968-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.5,,,,1
1968-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.5,,,,1
1968-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.7,,,,1
1969-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.8,,,,1
1969-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.6,,,,1
1969-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.6,,,,1
1969-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.8,,,,1
1969-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,17.8,,,,1
1969-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.2,,,,1
1969-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.4,,,,1
1969-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.6,,,,1
1969-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.3,,,,1
1969-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.2,,,,1
1969-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.4,,,,1
1969-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.5,,,,1
1970-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.5,,,,1
1970-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.6,,,,1
1970-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.6,,,,1
1970-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.7,,,,1
1970-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.6,,,,1
1970-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.6,,,,1
1970-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.7,,,,1
1970-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.8,,,,1
1970-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.5,,,,1
1970-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.3,,,,1
1970-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,18.1,,,,1
